accuracy,loss,val_accuracy,val_loss
0.8793728351593018,0.2945972979068756,0.9088146090507507,0.22499717772006989
0.9078603982925415,0.23076234757900238,0.9127893447875977,0.2089124172925949
0.9137709140777588,0.2153172641992569,0.9169979095458984,0.19694459438323975
0.9172133207321167,0.20664268732070923,0.9196866750717163,0.1938377171754837
0.917823851108551,0.20286336541175842,0.9216740727424622,0.18802671134471893
0.9201621413230896,0.19707240164279938,0.9244797825813293,0.18432314693927765
0.9206427335739136,0.1946936398744583,0.9222586154937744,0.18646137416362762
0.923721432685852,0.18975608050823212,0.9249473810195923,0.18070709705352783
0.9240851402282715,0.18617472052574158,0.9245966672897339,0.17915773391723633
0.9251114130020142,0.18379729986190796,0.9255319237709045,0.17217430472373962
0.9255270957946777,0.18148477375507355,0.9275192618370056,0.17360156774520874
0.9269559979438782,0.17829638719558716,0.9282206892967224,0.17042097449302673
0.9277094602584839,0.17720548808574677,0.9312602281570435,0.17114375531673431
0.9280471801757812,0.17497538030147552,0.9288052320480347,0.17024339735507965
0.9291903376579285,0.17303912341594696,0.9311433434486389,0.16672535240650177
0.9296969175338745,0.1721464991569519,0.931377112865448,0.16437917947769165
0.9299567341804504,0.17123185098171234,0.931377112865448,0.16605499386787415
0.9316194653511047,0.16847661137580872,0.9317278265953064,0.16131769120693207
0.9308790564537048,0.16810765862464905,0.9303249716758728,0.16413411498069763
0.9318922758102417,0.1659138947725296,0.9314940571784973,0.16093555092811584
